Afghanistan,"name: Kabul 
      
      
        geographic coordinates: 34 31 N, 69 11 E 
      
      
        time difference: UTC+4.5 (9.5 hours ahead of Washington, DC, during Standard Time)"
Belgium,"name: Brussels 
      
      
        geographic coordinates: 50 50 N, 4 20 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Belize,"name: Belmopan 
      
      
        geographic coordinates: 17 15 N, 88 46 W 
      
      
        time difference: UTC-6 (1 hour behind Washington, DC, during Standard Time)"
Benin,"name: Porto-Novo (official capital); Cotonou (seat of government) 
      
      
        geographic coordinates: 6 29 N, 2 37 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time)"
Bermuda,"name: Hamilton 
      
      
        geographic coordinates: 32 17 N, 64 47 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November"
Bhutan,"name: Thimphu 
      
      
        geographic coordinates: 27 28 N, 89 38 E 
      
      
        time difference: UTC+6 (11 hours ahead of Washington, DC, during Standard Time)"
Bolivia,"name: La Paz (administrative capital); Sucre (constitutional capital) 
      
      
        geographic coordinates: 16 30 S, 68 09 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Bosnia and Herzegovina,"name: Sarajevo 
      
      
        geographic coordinates: 43 52 N, 18 25 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Botswana,"name: Gaborone 
      
      
        geographic coordinates: 24 38 S, 25 54 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time)"
Brazil,"name: Brasilia 
      
      
        geographic coordinates: 15 47 S, 47 55 W 
      
      
        time difference: UTC-3 (2 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins third Sunday in October; ends third Sunday in February 
      
      
        note: Brazil has three time zones, including one for the Fernando de Noronha Islands"
British Virgin Islands,"name: Road Town 
      
      
        geographic coordinates: 18 25 N, 64 37 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Brunei,"name: Bandar Seri Begawan 
      
      
        geographic coordinates: 4 53 N, 114 56 E 
      
      
        time difference: UTC+8 (13 hours ahead of Washington, DC, during Standard Time)"
Bulgaria,"name: Sofia 
      
      
        geographic coordinates: 42 41 N, 23 19 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Burkina Faso,"name: Ouagadougou 
      
      
        geographic coordinates: 12 22 N, 1 31 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time)"
Burma,"name: Rangoon (Yangon); note - Nay Pyi Taw is the administrative capital 
      
      
        geographic coordinates: 16 48 N, 96 09 E 
      
      
        time difference: UTC+6.5 (11.5 hours ahead of Washington, DC, during Standard Time)"
Burundi,"name: Bujumbura 
      
      
        geographic coordinates: 3 22 S, 29 21 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time)"
Cabo Verde,"name: Praia 
      
      
        geographic coordinates: 14 55 N, 23 31 W 
      
      
        time difference: UTC-1 (4 hours ahead of Washington, DC, during Standard Time)"
Cambodia,"name: Phnom Penh 
      
      
        geographic coordinates: 11 33 N, 104 55 E 
      
      
        time difference: UTC+7 (12 hours ahead of Washington, DC, during Standard Time)"
Cameroon,"name: Yaounde 
      
      
        geographic coordinates: 3 52 N, 11 31 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time)"
Canada,"name: Ottawa 
      
      
        geographic coordinates: 45 25 N, 75 42 W 
      
      
        time difference: UTC-5 (same time as Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November 
      
      
        note: Canada has six time zones"
Cayman Islands,"name: George Town (on Grand Cayman) 
      
      
        geographic coordinates: 19 18 N, 81 23 W 
      
      
        time difference: UTC-5 (same time as Washington, DC, during Standard Time)"
Central African Republic,"name: Bangui 
      
      
        geographic coordinates: 4 22 N, 18 35 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time)"
Chad,"name: N'Djamena 
      
      
        geographic coordinates: 12 06 N, 15 02 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time)"
Chile,"name: Santiago; note - Valparaiso is the seat of the national legislature 
      
      
        geographic coordinates: 33 27 S, 70 40 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, under a new pilot program that begins second Sunday in September and ends fourth Sunday in April"
China,"name: Beijing 
      
      
        geographic coordinates: 39 55 N, 116 23 E 
      
      
        time difference: UTC+8 (13 hours ahead of Washington, DC, during Standard Time) 
      
      
        note: despite its size, all of China falls within one time zone; many people in Xinjiang Province observe an unofficial ""Xinjiang time zone"" of UTC+6, two hours behind Beijing"
Christmas Island,"name: The Settlement 
      
      
        geographic coordinates: 10 25 S, 105 43 E 
      
      
        time difference: UTC+7 (12 hours ahead of Washington, DC, during Standard Time)"
Cocos (Keeling) Islands,"name: West Island 
      
      
        geographic coordinates: 12 10 S, 96 50 E 
      
      
        time difference: UTC+6.5 (11.5 hours ahead of Washington, DC, during Standard Time)"
Colombia,"name: Bogota 
      
      
        geographic coordinates: 4 36 N, 74 05 W 
      
      
        time difference: UTC-5 (same time as Washington, DC, during Standard Time)"
Comoros,"name: Moroni 
      
      
        geographic coordinates: 11 42 S, 43 14 E 
      
      
        time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time)"
"Congo, Democratic Republic of the","name: Kinshasa 
      
      
        geographic coordinates: 4 19 S, 15 18 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time)"
"Congo, Republic of the","name: Brazzaville 
      
      
        geographic coordinates: 4 15 S, 15 17 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time)"
Cook Islands,"name: Avarua 
      
      
        geographic coordinates: 21 12 S, 159 46 W 
      
      
        time difference: UTC-10 (5 hours behind Washington, DC, during Standard Time)"
Costa Rica,"name: San Jose 
      
      
        geographic coordinates: 9 56 N, 84 05 W 
      
      
        time difference: UTC-6 (1 hour behind Washington, DC, during Standard Time)"
Cote d'Ivoire,"name: Yamoussoukro; note - although Yamoussoukro has been the official capital since 1983, Abidjan remains the commercial and administrative center; the US, like other countries, maintains its Embassy in Abidjan 
      
      
        geographic coordinates: 6 49 N, 5 16 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time)"
Croatia,"name: Zagreb 
      
      
        geographic coordinates: 45 48 N, 16 00 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Cuba,"name: Havana 
      
      
        geographic coordinates: 23 07 N, 82 21 W 
      
      
        time difference: UTC-5 (same time as Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November; note - Cuba has been known to alter the schedule of DST on short notice in an attempt to conserve electricity for lighting"
Curacao,"name: Willemstad 
      
      
        geographic coordinates: 12 06 N, 68 55 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Cyprus,"name: Nicosia (Lefkosia/Lefkosa) 
      
      
        geographic coordinates: 35 10 N, 33 22 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Czech Republic,"name: Prague 
      
      
        geographic coordinates: 50 05 N, 14 28 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Denmark,"name: Copenhagen 
      
      
        geographic coordinates: 55 40 N, 12 35 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October 
      
      
        note: applies to continental Denmark only, not to its North Atlantic components"
Dhekelia,"name: Episkopi Cantonment (base administrative center for Akrotiri and Dhekelia); located in Akrotiri 
      
      
        geographic coordinates: 34 40 N, 32 51 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Djibouti,"name: Djibouti 
      
      
        geographic coordinates: 11 35 N, 43 09 E 
      
      
        time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time)"
Dominica,"name: Roseau 
      
      
        geographic coordinates: 15 18 N, 61 24 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Dominican Republic,"name: Santo Domingo 
      
      
        geographic coordinates: 18 28 N, 69 54 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Ecuador,"name: Quito 
      
      
        geographic coordinates: 0 13 S, 78 30 W 
      
      
        time difference: UTC-5 (same time as Washington, DC, during Standard Time)"
Egypt,"name: Cairo 
      
      
        geographic coordinates: 30 03 N, 31 15 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time)"
El Salvador,"name: San Salvador 
      
      
        geographic coordinates: 13 42 N, 89 12 W 
      
      
        time difference: UTC-6 (1 hour behind Washington, DC, during Standard Time) 
      
      
        daylight saving time: none scheduled for 2014"
Equatorial Guinea,"name: Malabo 
      
      
        geographic coordinates: 3 45 N, 8 47 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time)"
Eritrea,"name: Asmara (Asmera) 
      
      
        geographic coordinates: 15 20 N, 38 56 E 
      
      
        time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time)"
Estonia,"name: Tallinn 
      
      
        geographic coordinates: 59 26 N, 24 43 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Ethiopia,"name: Addis Ababa 
      
      
        geographic coordinates: 9 02 N, 38 42 E 
      
      
        time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time)"
European Union,"name: Brussels (Belgium), Strasbourg (France), Luxembourg note - the European Council and the Council of the European Union meet in Brussels, Belgium; the European Parliament meets in Brussels and Strasbourg, France, and has administrative offices in Luxembourg; the Court of Justice of the European Union meets in Luxembourg 
      
      
        geographic coordinates: (Brussels) 50 50 N, 4 20 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Falkland Islands (Islas Malvinas),"name: Stanley 
      
      
        geographic coordinates: 51 42 S, 57 51 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: none scheduled for 2014"
Faroe Islands,"name: Torshavn 
      
      
        geographic coordinates: 62 00 N, 6 46 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Fiji,"name: Suva (on Viti Levu) 
      
      
        geographic coordinates: 18 08 S, 178 25 E 
      
      
        time difference: UTC+12 (17 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins fourth Sunday in October; ends third Sunday in January"
Finland,"name: Helsinki 
      
      
        geographic coordinates: 60 10 N, 24 56 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
France,"name: Paris 
      
      
        geographic coordinates: 48 52 N, 2 20 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October 
      
      
        note: applies to metropolitan France only, not to its overseas departments, collectivities, or territories"
French Polynesia,"name: Papeete (located on Tahiti) 
      
      
        geographic coordinates: 17 32 S, 149 34 W 
      
      
        time difference: UTC-10 (5 hours behind Washington, DC, during Standard Time)"
Gabon,"name: Libreville 
      
      
        geographic coordinates: 0 23 N, 9 27 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time)"
"Gambia, The","name: Banjul 
      
      
        geographic coordinates: 13 27 N, 16 34 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time)"
Georgia,"name: Tbilisi 
      
      
        geographic coordinates: 41 41 N, 44 50 E 
      
      
        time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time)"
Germany,"name: Berlin 
      
      
        geographic coordinates: 52 31 N, 13 24 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Ghana,"name: Accra 
      
      
        geographic coordinates: 5 33 N, 0 13 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time)"
Gibraltar,"name: Gibraltar 
      
      
        geographic coordinates: 36 08 N, 5 21 W 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Greece,"name: Athens 
      
      
        geographic coordinates: 37 59 N, 23 44 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Greenland,"name: Nuuk (Godthab) 
      
      
        geographic coordinates: 64 11 N, 51 45 W 
      
      
        time difference: UTC-3 (2 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October 
      
      
        note: Greenland has four time zones"
Grenada,"name: Saint George's 
      
      
        geographic coordinates: 12 03 N, 61 45 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Guam,"name: Hagatna (Agana) 
      
      
        geographic coordinates: 13 28 N, 144 44 E 
      
      
        time difference: UTC+10 (15 hours ahead of Washington, DC, during Standard Time)"
Guatemala,"name: Guatemala City 
      
      
        geographic coordinates: 14 37 N, 90 31 W 
      
      
        time difference: UTC-6 (1 hour behind Washington, DC, during Standard Time)"
Guernsey,"name: Saint Peter Port 
      
      
        geographic coordinates: 49 27 N, 2 32 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Guinea,"name: Conakry 
      
      
        geographic coordinates: 9 30 N, 13 42 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time)"
Guinea-Bissau,"name: Bissau 
      
      
        geographic coordinates: 11 51 N, 15 35 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time)"
Guyana,"name: Georgetown 
      
      
        geographic coordinates: 6 48 N, 58 09 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Haiti,"name: Port-au-Prince 
      
      
        geographic coordinates: 18 32 N, 72 20 W 
      
      
        time difference: UTC-5 (same time as Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November"
Holy See (Vatican City),"name: Vatican City 
      
      
        geographic coordinates: 41 54 N, 12 27 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Honduras,"name: Tegucigalpa 
      
      
        geographic coordinates: 14 06 N, 87 13 W 
      
      
        time difference: UTC-6 (1 hour behind Washington, DC during Standard Time) 
      
      
        daylight saving time: none scheduled for 2013"
Hungary,"name: Budapest 
      
      
        geographic coordinates: 47 30 N, 19 05 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Iceland,"name: Reykjavik 
      
      
        geographic coordinates: 64 09 N, 21 57 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time)"
India,"name: New Delhi 
      
      
        geographic coordinates: 28 36 N, 77 12 E 
      
      
        time difference: UTC+5.5 (10.5 hours ahead of Washington, DC, during Standard Time)"
Indonesia,"name: Jakarta 
      
      
        geographic coordinates: 6 10 S, 106 49 E 
      
      
        time difference: UTC+7 (12 hours ahead of Washington, DC, during Standard Time) 
      
      
        note: Indonesia has three time zones"
Iran,"name: Tehran 
      
      
        geographic coordinates: 35 42 N, 51 25 E 
      
      
        time difference: UTC+3.5 (8.5 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins fourth Tuesday in March; ends fourth Thursday in September"
Iraq,"name: Baghdad 
      
      
        geographic coordinates: 33 20 N, 44 24 E 
      
      
        time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time)"
Ireland,"name: Dublin 
      
      
        geographic coordinates: 53 19 N, 6 14 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Isle of Man,"name: Douglas 
      
      
        geographic coordinates: 54 09 N, 4 29 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Israel,"name: Jerusalem: note - Israel proclaimed Jerusalem as its capital in 1950, but the US, like all other countries, maintains its embassy in Tel Aviv 
      
      
        geographic coordinates: 31 46 N, 35 14 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins Friday before the last Sunday in March; ends the last Sunday in October"
Italy,"name: Rome 
      
      
        geographic coordinates: 41 54 N, 12 29 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Jamaica,"name: Kingston 
      
      
        geographic coordinates: 18 00 N, 76 48 W 
      
      
        time difference: UTC-5 (same time as Washington, DC, during Standard Time)"
Japan,"name: Tokyo 
      
      
        geographic coordinates: 35 41 N, 139 45 E 
      
      
        time difference: UTC+9 (14 hours ahead of Washington, DC, during Standard Time)"
Jersey,"name: Saint Helier 
      
      
        geographic coordinates: 49 11 N, 2 06 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Jordan,"name: Amman 
      
      
        geographic coordinates: 31 57 N, 35 56 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Friday in March; ends last Friday in October"
Kazakhstan,"name: Astana 
      
      
        geographic coordinates: 51 10 N, 71 25 E 
      
      
        time difference: UTC+6 (11 hours ahead of Washington, DC, during Standard Time) 
      
      
        note: Kazakhstan has two time zones"
Kenya,"name: Nairobi 
      
      
        geographic coordinates: 1 17 S, 36 49 E 
      
      
        time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time)"
Kiribati,"name: Tarawa 
      
      
        geographic coordinates: 1 21 N, 173 02 E 
      
      
        time difference: UTC+12 (17 hours ahead of Washington, DC, during Standard Time) 
      
      
        note: on 1 January 1995, Kiribati proclaimed that all of its territory was in the same time zone as its Gilbert Islands group (UTC +12) even though the Phoenix Islands and the Line Islands under its jurisdiction were on the other side of the International Date Line"
"Korea, North","name: Pyongyang 
      
      
        geographic coordinates: 39 01 N, 125 45 E 
      
      
        time difference: UTC+9 (14 hours ahead of Washington, DC, during Standard Time)"
"Korea, South","name: Seoul 
      
      
        geographic coordinates: 37 33 N, 126 59 E 
      
      
        time difference: UTC+9 (14 hours ahead of Washington, DC, during Standard Time)"
Kosovo,"name: Pristina (Prishtine, Prishtina) 
      
      
        geographic coordinates: 42 40 N, 21 10 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Kuwait,"name: Kuwait City 
      
      
        geographic coordinates: 29 22 N, 47 58 E 
      
      
        time difference: UTC+3 (8 hours ahead of Washington, DC,during Standard Time)"
Kyrgyzstan,"name: Bishkek 
      
      
        geographic coordinates: 42 52 N, 74 36 E 
      
      
        time difference: UTC+6 (11 hours ahead of Washington, DC, during Standard Time)"
Laos,"name: Vientiane (Viangchan) 
      
      
        geographic coordinates: 17 58 N, 102 36 E 
      
      
        time difference: UTC+7 (12 hours ahead of Washington, DC, during Standard Time)"
Latvia,"name: Riga 
      
      
        geographic coordinates: 56 57 N, 24 06 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Lebanon,"name: Beirut 
      
      
        geographic coordinates: 33 52 N, 35 30 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Lesotho,"name: Maseru 
      
      
        geographic coordinates: 29 19 S, 27 29 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time)"
Liberia,"name: Monrovia 
      
      
        geographic coordinates: 6 18 N, 10 48 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time)"
Libya,"name: Tripoli (Tarabulus) 
      
      
        geographic coordinates: 32 53 N, 13 10 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Friday in March; ends last Friday in October 
      
      
        note: on 10 November 2012, Libya changed its standard time from UTC+2 to UTC+1"
Liechtenstein,"name: Vaduz 
      
      
        geographic coordinates: 47 08 N, 9 31 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Lithuania,"name: Vilnius 
      
      
        geographic coordinates: 54 41 N, 25 19 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Luxembourg,"name: Luxembourg 
      
      
        geographic coordinates: 49 36 N, 6 07 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Macedonia,"name: Skopje 
      
      
        geographic coordinates: 42 00 N, 21 26 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Madagascar,"name: Antananarivo 
      
      
        geographic coordinates: 18 55 S, 47 31 E 
      
      
        time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time)"
Malawi,"name: Lilongwe 
      
      
        geographic coordinates: 13 58 S, 33 47 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time)"
Malaysia,"name: Kuala Lumpur; note - Putrajaya is referred to as an administrative center not the capital; Parliament meets in Kuala Lumpur 
      
      
        geographic coordinates: 3 10 N, 101 42 E 
      
      
        time difference: UTC+8 (13 hours ahead of Washington, DC, during Standard Time)"
Maldives,"name: Male 
      
      
        geographic coordinates: 4 10 N, 73 30 E 
      
      
        time difference: UTC+5 (10 hours ahead of Washington, DC, during Standard Time)"
